Sub_1,Sub_2,Sub_3,Sub_4,Sum,course,school,comb
5,13,25,45,88,science with education,Education,5 13 25 45 Education 88
25,18,29,16,88,science with education,Education,25 18 29 16 Education 88
20,28,7,33,88,science with education,Education,20 28 7 33 Education 88
10,29,20,29,88,science with education,Education,10 29 20 29 Education 88
9,25,25,29,88,science with education,Education,9 25 25 29 Education 88
4,28,3,53,88,science with education,Education,4 28 3 53 Education 88
33,27,23,5,88,science with education,Education,33 27 23 5 Education 88
38,0,3,48,89,science with education,Education,38 0 3 48 Education 89
25,18,5,41,89,science with education,Education,25 18 5 41 Education 89
20,9,57,3,89,science with education,Education,20 9 57 3 Education 89
7,23,2,57,89,science with education,Education,7 23 2 57 Education 89
0,63,0,26,89,science with education,Education,0 63 0 26 Education 89
24,4,38,24,90,science with education,Education,24 4 38 24 Education 90
75,5,7,3,90,science with education,Education,75 5 7 3 Education 90
13,21,19,37,90,science with education,Education,13 21 19 37 Education 90
23,6,46,15,90,science with education,Education,23 6 46 15 Education 90
3,15,5,67,90,science with education,Education,3 15 5 67 Education 90
0,34,9,48,91,information and communication technologies,Education,0 34 9 48 Education 91
0,3,36,52,91,information and communication technologies,Education,0 3 36 52 Education 91
16,13,48,14,91,information and communication technologies,Education,16 13 48 14 Education 91
67,3,17,4,91,information and communication technologies,Education,67 3 17 4 Education 91
30,17,38,6,91,information and communication technologies,Education,30 17 38 6 Education 91
12,27,36,16,91,information and communication technologies,Education,12 27 36 16 Education 91
25,1,41,24,91,information and communication technologies,Education,25 1 41 24 Education 91
50,15,11,15,91,information and communication technologies,Education,50 15 11 15 Education 91
10,40,10,31,91,information and communication technologies,Education,10 40 10 31 Education 91
22,38,12,19,91,information and communication technologies,Education,22 38 12 19 Education 91
27,15,43,6,91,information and communication technologies,Education,27 15 43 6 Education 91
26,21,12,33,92,information and communication technologies,Education,26 21 12 33 Education 92
20,50,0,22,92,information and communication technologies,Education,20 50 0 22 Education 92
35,29,20,8,92,information and communication technologies,Education,35 29 20 8 Education 92
61,1,8,22,92,information and communication technologies,Education,61 1 8 22 Education 92
13,9,2,68,92,information and communication technologies,Education,13 9 2 68 Education 92
12,50,17,13,92,information and communication technologies,Education,12 50 17 13 Education 92
82,3,7,0,92,information and communication technologies,Education,82 3 7 0 Education 92
2,25,27,38,92,information and communication technologies,Education,2 25 27 38 Education 92
9,48,4,31,92,information and communication technologies,Education,9 48 4 31 Education 92
7,50,35,0,92,information and communication technologies,Education,7 50 35 0 Education 92
10,8,18,56,92,information and communication technologies,Education,10 8 18 56 Education 92
64,13,5,11,93,information and communication technologies,Education,64 13 5 11 Education 93
3,62,0,28,93,information and communication technologies,Education,3 62 0 28 Education 93
28,2,19,44,93,information and communication technologies,Education,28 2 19 44 Education 93
31,8,15,39,93,information and communication technologies,Education,31 8 15 39 Education 93
55,31,1,6,93,information and communication technologies,Education,55 31 1 6 Education 93
41,11,13,28,93,information and communication technologies,Education,41 11 13 28 Education 93
0,28,28,37,93,information and communication technologies,Education,0 28 28 37 Education 93
12,40,12,29,93,information and communication technologies,Education,12 40 12 29 Education 93
5,56,12,20,93,information and communication technologies,Education,5 56 12 20 Education 93
21,21,2,50,94,information and communication technologies,Education,21 21 2 50 Education 94
13,19,2,60,94,information and communication technologies,Education,13 19 2 60 Education 94
1,23,25,45,94,information and communication technologies,Education,1 23 25 45 Education 94
20,46,15,13,94,information and communication technologies,Education,20 46 15 13 Education 94
23,31,27,13,94,information and communication technologies,Education,23 31 27 13 Education 94
11,10,15,58,94,information and communication technologies,Education,11 10 15 58 Education 94
0,19,34,41,94,information and communication technologies,Education,0 19 34 41 Education 94
50,13,11,20,94,information and communication technologies,Education,50 13 11 20 Education 94
51,1,41,1,94,information and communication technologies,Education,51 1 41 1 Education 94
51,34,5,4,94,information and communication technologies,Education,51 34 5 4 Education 94
5,42,19,28,94,information and communication technologies,Education,5 42 19 28 Education 94
5,22,31,36,94,information and communication technologies,Education,5 22 31 36 Education 94
15,11,26,43,95,information and communication technologies,Education,15 11 26 43 Education 95
0,19,42,34,95,information and communication technologies,Education,0 19 42 34 Education 95
31,47,3,14,95,information and communication technologies,Education,31 47 3 14 Education 95
15,21,47,13,96,education for primary,Education,15 21 47 13 Education 96
15,33,42,6,96,education for primary,Education,15 33 42 6 Education 96
8,50,37,1,96,education for primary,Education,8 50 37 1 Education 96
6,33,4,53,96,education for primary,Education,6 33 4 53 Education 96
50,22,12,12,96,education for primary,Education,50 22 12 12 Education 96
11,19,17,49,96,education for primary,Education,11 19 17 49 Education 96
46,15,3,32,96,education for primary,Education,46 15 3 32 Education 96
9,34,37,16,96,education for primary,Education,9 34 37 16 Education 96
9,61,11,15,96,education for primary,Education,9 61 11 15 Education 96
14,29,27,26,96,education for primary,Education,14 29 27 26 Education 96
78,6,3,10,97,education for primary,Education,78 6 3 10 Education 97
40,0,54,3,97,education for primary,Education,40 0 54 3 Education 97
2,32,28,35,97,education for primary,Education,2 32 28 35 Education 97
29,26,37,5,97,education for primary,Education,29 26 37 5 Education 97
3,9,25,60,97,education for primary,Education,3 9 25 60 Education 97
62,5,22,8,97,education for primary,Education,62 5 22 8 Education 97
0,31,0,67,98,education for primary,Education,0 31 0 67 Education 98
16,57,17,8,98,education for primary,Education,16 57 17 8 Education 98
5,6,29,58,98,education for primary,Education,5 6 29 58 Education 98
62,3,30,3,98,education for primary,Education,62 3 30 3 Education 98
62,15,16,5,98,education for primary,Education,62 15 16 5 Education 98
6,3,63,27,99,education for primary,Education,6 3 63 27 Education 99
13,42,18,26,99,education for primary,Education,13 42 18 26 Education 99
32,29,35,3,99,education for primary,Education,32 29 35 3 Education 99
24,16,5,54,99,education for primary,Education,24 16 5 54 Education 99
1,3,62,33,99,education for primary,Education,1 3 62 33 Education 99
23,35,40,1,99,education for primary,Education,23 35 40 1 Education 99
59,31,5,4,99,education for primary,Education,59 31 5 4 Education 99
13,44,25,17,99,education for primary,Education,13 44 25 17 Education 99
14,53,15,17,99,education for primary,Education,14 53 15 17 Education 99
42,18,15,24,99,education for primary,Education,42 18 15 24 Education 99
50,43,3,3,99,education for primary,Education,50 43 3 3 Education 99
45,5,1,48,99,education for primary,Education,45 5 1 48 Education 99
5,1,45,49,100,education for primary,Education,5 1 45 49 Education 100
19,23,50,8,100,education for primary,Education,19 23 50 8 Education 100
20,8,4,68,100,education for primary,Education,20 8 4 68 Education 100
72,1,21,6,100,education for primary,Education,72 1 21 6 Education 100
8,7,67,18,100,education for primary,Education,8 7 67 18 Education 100
35,4,56,5,100,education for primary,Education,35 4 56 5 Education 100
31,19,22,29,101,education for secondary,Education,31 19 22 29 Education 101
5,35,51,10,101,education for secondary,Education,5 35 51 10 Education 101
18,50,9,24,101,education for secondary,Education,18 50 9 24 Education 101
67,32,1,1,101,education for secondary,Education,67 32 1 1 Education 101
30,58,11,2,101,education for secondary,Education,30 58 11 2 Education 101
7,72,0,22,101,education for secondary,Education,7 72 0 22 Education 101
20,35,18,28,101,education for secondary,Education,20 35 18 28 Education 101
5,29,13,54,101,education for secondary,Education,5 29 13 54 Education 101
16,7,6,72,101,education for secondary,Education,16 7 6 72 Education 101
31,15,15,40,101,education for secondary,Education,31 15 15 40 Education 101
4,17,39,41,101,education for secondary,Education,4 17 39 41 Education 101
20,15,0,66,101,education for secondary,Education,20 15 0 66 Education 101
7,71,22,1,101,education for secondary,Education,7 71 22 1 Education 101
27,60,11,3,101,education for secondary,Education,27 60 11 3 Education 101
21,26,10,45,102,education for secondary,Education,21 26 10 45 Education 102
0,5,84,13,102,education for secondary,Education,0 5 84 13 Education 102
15,28,8,51,102,education for secondary,Education,15 28 8 51 Education 102
0,38,49,15,102,education for secondary,Education,0 38 49 15 Education 102
15,64,14,9,102,education for secondary,Education,15 64 14 9 Education 102
6,14,7,75,102,education for secondary,Education,6 14 7 75 Education 102
8,38,5,51,102,education for secondary,Education,8 38 5 51 Education 102
13,3,66,20,102,education for secondary,Education,13 3 66 20 Education 102
7,10,3,82,102,education for secondary,Education,7 10 3 82 Education 102
8,10,55,29,102,education for secondary,Education,8 10 55 29 Education 102
2,14,3,83,102,education for secondary,Education,2 14 3 83 Education 102
33,2,1,66,102,education for secondary,Education,33 2 1 66 Education 102
69,11,18,4,102,education for secondary,Education,69 11 18 4 Education 102
35,50,15,2,102,education for secondary,Education,35 50 15 2 Education 102
8,12,19,64,103,education for secondary,Education,8 12 19 64 Education 103
23,21,25,34,103,education for secondary,Education,23 21 25 34 Education 103
17,1,44,41,103,education for secondary,Education,17 1 44 41 Education 103
22,31,13,37,103,education for secondary,Education,22 31 13 37 Education 103
47,52,2,2,103,education for secondary,Education,47 52 2 2 Education 103
59,4,24,16,103,education for secondary,Education,59 4 24 16 Education 103
24,29,3,47,103,education for secondary,Education,24 29 3 47 Education 103
0,35,17,51,103,education for secondary,Education,0 35 17 51 Education 103
31,25,9,38,103,education for secondary,Education,31 25 9 38 Education 103
48,3,41,12,104,education for secondary,Education,48 3 41 12 Education 104
85,12,0,7,104,education for secondary,Education,85 12 0 7 Education 104
67,29,1,7,104,education for secondary,Education,67 29 1 7 Education 104
22,38,38,6,104,education for secondary,Education,22 38 38 6 Education 104
44,40,12,8,104,education for secondary,Education,44 40 12 8 Education 104
36,10,45,13,104,education for secondary,Education,36 10 45 13 Education 104
40,45,6,13,104,education for secondary,Education,40 45 6 13 Education 104
100,3,1,0,104,education for secondary,Education,100 3 1 0 Education 104
11,2,69,22,104,education for secondary,Education,11 2 69 22 Education 104
47,8,45,4,104,education for secondary,Education,47 8 45 4 Education 104
68,11,16,9,104,education for secondary,Education,68 11 16 9 Education 104
9,70,19,6,104,education for secondary,Education,9 70 19 6 Education 104
63,1,13,28,105,education for secondary,Education,63 1 13 28 Education 105
10,42,26,27,105,education for secondary,Education,10 42 26 27 Education 105
42,27,3,33,105,education for secondary,Education,42 27 3 33 Education 105
70,3,8,24,105,education for secondary,Education,70 3 8 24 Education 105
28,28,6,43,105,education for secondary,Education,28 28 6 43 Education 105
19,3,41,42,105,education for secondary,Education,19 3 41 42 Education 105
87,1,15,2,105,education for secondary,Education,87 1 15 2 Education 105
28,3,13,61,105,education for secondary,Education,28 3 13 61 Education 105
0,6,41,58,105,education for secondary,Education,0 6 41 58 Education 105
32,27,40,6,105,education for secondary,Education,32 27 40 6 Education 105
10,9,25,61,105,education for secondary,Education,10 9 25 61 Education 105
81,6,15,3,105,education for secondary,Education,81 6 15 3 Education 105
6,98,0,1,105,education for secondary,Education,6 98 0 1 Education 105
0,72,10,24,106,education of social sciences,Education,0 72 10 24 Education 106
27,28,13,38,106,education of social sciences,Education,27 28 13 38 Education 106
26,56,11,13,106,education of social sciences,Education,26 56 11 13 Education 106
12,48,25,21,106,education of social sciences,Education,12 48 25 21 Education 106
65,2,20,19,106,education of social sciences,Education,65 2 20 19 Education 106
21,19,32,34,106,education of social sciences,Education,21 19 32 34 Education 106
19,59,10,18,106,education of social sciences,Education,19 59 10 18 Education 106
1,50,0,55,106,education of social sciences,Education,1 50 0 55 Education 106
53,29,22,2,106,education of social sciences,Education,53 29 22 2 Education 106
69,19,12,6,106,education of social sciences,Education,69 19 12 6 Education 106
13,5,72,16,106,education of social sciences,Education,13 5 72 16 Education 106
51,15,41,0,107,education of social sciences,Education,51 15 41 0 Education 107
31,29,0,47,107,education of social sciences,Education,31 29 0 47 Education 107
22,11,2,72,107,education of social sciences,Education,22 11 2 72 Education 107
63,12,3,29,107,education of social sciences,Education,63 12 3 29 Education 107
30,66,7,5,108,education of social sciences,Education,30 66 7 5 Education 108
50,15,6,37,108,education of social sciences,Education,50 15 6 37 Education 108
0,6,26,76,108,education of social sciences,Education,0 6 26 76 Education 108
79,3,22,4,108,education of social sciences,Education,79 3 22 4 Education 108
0,16,8,84,108,education of social sciences,Education,0 16 8 84 Education 108
9,96,1,2,108,education of social sciences,Education,9 96 1 2 Education 108
50,26,27,5,108,education of social sciences,Education,50 26 27 5 Education 108
3,71,22,12,108,education of social sciences,Education,3 71 22 12 Education 108
45,8,27,28,108,education of social sciences,Education,45 8 27 28 Education 108
15,15,6,72,108,education of social sciences,Education,15 15 6 72 Education 108
20,28,6,55,109,education of social sciences,Education,20 28 6 55 Education 109
4,15,2,88,109,education of social sciences,Education,4 15 2 88 Education 109
14,85,7,3,109,education of social sciences,Education,14 85 7 3 Education 109
0,22,45,42,109,education of social sciences,Education,0 22 45 42 Education 109
49,1,41,18,109,education of social sciences,Education,49 1 41 18 Education 109
2,8,7,93,110,education of social sciences,Education,2 8 7 93 Education 110
44,36,9,21,110,education of social sciences,Education,44 36 9 21 Education 110
87,2,12,9,110,education of social sciences,Education,87 2 12 9 Education 110
31,26,8,45,110,education of social sciences,Education,31 26 8 45 Education 110
11,79,6,14,110,education of social sciences,Education,11 79 6 14 Education 110
13,1,2,94,110,education of social sciences,Education,13 1 2 94 Education 110
10,2,39,59,110,education of social sciences,Education,10 2 39 59 Education 110
75,1,25,9,110,education of social sciences,Education,75 1 25 9 Education 110
0,8,16,86,110,education of social sciences,Education,0 8 16 86 Education 110
50,50,3,7,110,education of social sciences,Education,50 50 3 7 Education 110
9,0,94,7,110,education of social sciences,Education,9 0 94 7 Education 110
51,20,10,29,110,education of social sciences,Education,51 20 10 29 Education 110
46,2,43,20,111,special education,Education,46 2 43 20 Education 111
23,83,4,1,111,special education,Education,23 83 4 1 Education 111
18,23,10,60,111,special education,Education,18 23 10 60 Education 111
58,8,38,7,111,special education,Education,58 8 38 7 Education 111
18,80,9,4,111,special education,Education,18 80 9 4 Education 111
26,24,18,43,111,special education,Education,26 24 18 43 Education 111
36,6,45,24,111,special education,Education,36 6 45 24 Education 111
14,87,7,3,111,special education,Education,14 87 7 3 Education 111
17,54,1,39,111,special education,Education,17 54 1 39 Education 111
2,10,18,81,111,special education,Education,2 10 18 81 Education 111
14,35,43,19,111,special education,Education,14 35 43 19 Education 111
61,0,6,44,111,special education,Education,61 0 6 44 Education 111
0,12,62,37,111,special education,Education,0 12 62 37 Education 111
73,19,15,4,111,special education,Education,73 19 15 4 Education 111
77,0,9,25,111,special education,Education,77 0 9 25 Education 111
67,0,42,3,112,special education,Education,67 0 42 3 Education 112
61,5,40,6,112,special education,Education,61 5 40 6 Education 112
63,1,44,4,112,special education,Education,63 1 44 4 Education 112
31,1,78,2,112,special education,Education,31 1 78 2 Education 112
8,79,23,2,112,special education,Education,8 79 23 2 Education 112
23,61,6,22,112,special education,Education,23 61 6 22 Education 112
17,69,15,11,112,special education,Education,17 69 15 11 Education 112
67,2,39,4,112,special education,Education,67 2 39 4 Education 112
11,97,3,1,112,special education,Education,11 97 3 1 Education 112
0,9,83,20,112,special education,Education,0 9 83 20 Education 112
27,0,10,75,112,special education,Education,27 0 10 75 Education 112
2,16,31,63,112,special education,Education,2 16 31 63 Education 112
19,61,21,11,112,special education,Education,19 61 21 11 Education 112
78,7,3,24,112,special education,Education,78 7 3 24 Education 112
29,25,14,45,113,special education,Education,29 25 14 45 Education 113
14,23,33,43,113,special education,Education,14 23 33 43 Education 113
0,5,24,84,113,special education,Education,0 5 24 84 Education 113
3,13,4,93,113,special education,Education,3 13 4 93 Education 113
0,5,67,41,113,special education,Education,0 5 67 41 Education 113
38,34,34,7,113,special education,Education,38 34 34 7 Education 113
13,42,27,31,113,special education,Education,13 42 27 31 Education 113
77,7,18,11,113,special education,Education,77 7 18 11 Education 113
37,21,5,50,113,special education,Education,37 21 5 50 Education 113
34,20,48,11,113,special education,Education,34 20 48 11 Education 113
72,12,26,3,113,special education,Education,72 12 26 3 Education 113
14,23,19,57,113,special education,Education,14 23 19 57 Education 113
0,38,20,55,113,special education,Education,0 38 20 55 Education 113
0,17,1,96,114,special education,Education,0 17 1 96 Education 114
60,15,20,19,114,special education,Education,60 15 20 19 Education 114
20,92,2,0,114,special education,Education,20 92 2 0 Education 114
64,12,15,23,114,special education,Education,64 12 15 23 Education 114
5,7,6,96,114,special education,Education,5 7 6 96 Education 114
13,14,26,61,114,special education,Education,13 14 26 61 Education 114
15,59,20,20,114,special education,Education,15 59 20 20 Education 114
43,4,2,65,114,special education,Education,43 4 2 65 Education 114
49,12,13,40,114,special education,Education,49 12 13 40 Education 114
14,57,12,31,114,special education,Education,14 57 12 31 Education 114
7,13,4,90,114,special education,Education,7 13 4 90 Education 114
27,69,8,10,114,special education,Education,27 69 8 10 Education 114
10,21,17,66,114,special education,Education,10 21 17 66 Education 114
25,19,21,50,115,special education,Education,25 19 21 50 Education 115
6,76,31,2,115,special education,Education,6 76 31 2 Education 115
43,25,29,18,115,special education,Education,43 25 29 18 Education 115
21,51,13,30,115,special education,Education,21 51 13 30 Education 115
29,3,21,62,115,special education,Education,29 3 21 62 Education 115
48,18,2,47,115,special education,Education,48 18 2 47 Education 115
11,5,59,40,115,special education,Education,11 5 59 40 Education 115
0,1,40,74,115,special education,Education,0 1 40 74 Education 115
17,74,16,8,115,special education,Education,17 74 16 8 Education 115
23,5,75,12,115,special education,Education,23 5 75 12 Education 115
86,1,8,20,115,special education,Education,86 1 8 20 Education 115
22,65,0,28,115,special education,Education,22 65 0 28 Education 115
66,22,9,18,115,special education,Education,66 22 9 18 Education 115
44,12,56,3,115,special education,Education,44 12 56 3 Education 115
